,id,pickup_datetime,dropoff_datetime,trip_duration,origin,destination,status,dist,treq,ttrav,pax_id,VoT,delta,u,u_PT,ride_id,ttrav_sh,u_sh,kind,position,x_org,y_org,x_dest,y_dest
0,id0718535,2016-01-27 16:01:41,2016-01-27 16:07:45,364,42437890,42430279,0,593,100,98,id0718535,0.0046,41.32017573770891,1.3403,999999,7,98,1.3403,1,0,-73.995645,40.744099,-73.990968,40.745421
1,id1631026,2016-01-27 16:27:32,2016-01-27 16:35:47,495,42437890,593816275,0,1814,1651,302,id1631026,0.0046,126.11439621609253,4.1102,999999,125,302,4.1102,1,0,-73.995645,40.744099,-74.0096237,40.7393541
2,id3481932,2016-01-27 16:02:18,2016-01-27 16:28:22,1564,42434871,42438889,0,6144,137,1024,id3481932,0.0046,427.00303555218113,13.9264,999999,238,1101,12.902301432,21,0,-74.0100069,40.7207656,-73.97282,40.75587
3,id2981651,2016-01-27 16:02:30,2016-01-27 16:06:06,216,1061531731,1061531802,0,889,149,148,id2981651,0.0046,61.80621265232699,2.0143,999999,11,148,2.0143,1,0,-73.9740197,40.7914304,-73.9689001,40.7984292
4,id1306562,2016-01-27 16:15:52,2016-01-27 16:25:10,558,42427915,1061531802,0,2379,951,396,id1306562,0.0046,165.40287066547245,5.3900999999999994,999999,72,396,5.3900999999999994,1,0,-73.9717218,40.7820299,-73.9689001,40.7984292
5,id2573901,2016-01-27 16:02:45,2016-01-27 16:18:41,956,42439416,42445374,0,4644,164,774,id2573901,0.0046,322.7542475755744,10.5264,999999,247,889,9.888965376,21,0,-73.946656,40.772351,-73.9797197,40.7463897
6,id0591012,2016-01-27 16:03:39,2016-01-27 16:25:17,1298,42436549,42431470,0,6344,218,1057,id0591012,0.0046,440.94573590544474,14.3782,999999,226,1071,12.734147724,21,0,-73.9503368,40.7798089,-73.982061,40.7320287
7,id1533299,2016-01-27 16:04:00,2016-01-27 16:39:13,2113,42454701,42427128,0,9229,239,1538,id1533299,0.0046,641.4294738022604,20.918300000000002,999999,206,1662,18.300399396,21,0,-73.9541061,40.7703989,-73.943465,40.839174
8,id3654869,2016-01-27 16:04:18,2016-01-27 16:07:22,184,42438973,42443077,0,1040,257,173,id3654869,0.0046,72.32202162016348,2.3558,999999,17,173,2.3558,1,0,-73.942395,40.786438,-73.9401082,40.7938155
9,id1517589,2016-01-27 16:04:30,2016-01-27 16:17:05,755,42437368,42439960,0,946,269,157,id1517589,0.0046,65.83195953001227,2.1412,999999,20,157,2.1412,1,0,-73.9926458,40.7584326,-73.989243,40.752895
10,id3439897,2016-01-27 16:05:04,2016-01-27 16:11:25,381,42446849,279151954,0,1776,303,296,id3439897,0.0046,123.43056496430236,4.0256,999999,21,296,4.0256,1,0,-74.0159377,40.715103,-74.0137834,40.7024066
11,id3017214,2016-01-27 16:05:24,2016-01-27 16:19:59,875,42438886,42428329,0,1722,323,287,id3017214,0.0046,119.67760859714451,3.9032,999999,22,287,3.9032,1,0,-73.9743304,40.756516,-73.9818927,40.7663007
12,id3230381,2016-01-27 16:05:39,2016-01-27 16:11:30,351,42431556,42428579,0,714,338,119,id3230381,0.0046,49.62242307686479,1.6183999999999998,999999,23,119,1.6183999999999998,1,0,-73.9833766,40.7660319,-73.9822554,40.771427
13,id1216209,2016-01-27 16:25:32,2016-01-27 16:42:46,1034,42431556,42429338,0,3898,1531,649,id1216209,0.0046,270.99357426797434,8.8324,999999,212,649,8.676710028,21,1,-73.9833766,40.7660319,-73.9539755,40.7788301
14,id1841194,2016-01-27 16:09:59,2016-01-27 16:31:36,1297,42438881,42429338,0,3461,598,576,id1841194,0.0046,240.64385834898093,7.841099999999999,999999,220,627,6.985178892,21,0,-73.9760473,40.7572354,-73.9539755,40.7788301
15,id1033178,2016-01-27 16:06:01,2016-01-27 16:10:12,251,42437451,42438509,0,1068,360,178,id1033178,0.0046,74.22513703934398,2.4208,999999,24,178,2.4208,1,0,-73.9583047,40.7646086,-73.9521805,40.7730268
16,id3108751,2016-01-27 16:06:09,2016-01-27 16:24:49,1120,9177540204,4557495130,0,2541,368,423,id3108751,0.0046,176.66173976694603,5.7573,999999,196,423,4.998941856,20,1,-73.96721,40.7605479,-73.9811332,40.774231
17,id1579669,2016-01-27 16:06:16,2016-01-27 16:11:53,337,42428024,42429334,0,1222,375,203,id1579669,0.0046,85.01373651770791,2.7668,999999,26,203,2.7668,1,0,-73.9494729,40.7727099,-73.9555581,40.7794969
18,id1292056,2016-01-27 16:06:20,2016-01-27 16:10:40,260,42444954,42439842,0,1091,379,181,id1292056,0.0046,75.93077334594233,2.4691,999999,27,181,2.4691,1,0,-73.996798,40.7527349,-73.9942616,40.7460045
19,id2268212,2016-01-27 16:06:26,2016-01-27 16:19:11,765,42435331,596776041,0,3089,385,514,id2268212,0.0046,214.79015893078247,6.9979,999999,160,558,6.600460116,20,0,-73.9623766,40.794859,-73.9620433,40.7737374
