,id,pickup_datetime,dropoff_datetime,trip_duration,origin,destination,status,dist,treq,ttrav,pax_id,VoT,delta,u,u_PT,ride_id,ttrav_sh,u_sh,kind,position,x_org,y_org,x_dest,y_dest
0,id1788022,2016-01-29 00:00:30,2016-01-29 00:10:53,623,1825841693,62915525,0,2545,0,424,id1788022,0.0046,176.8968745785008,5.7679,999999,0,424,5.7679,1,0,-73.9817558,40.7676813,-74.0002834,40.7625427
1,id2893612,2016-01-29 00:00:31,2016-01-29 00:07:12,401,42432818,42435660,0,2145,1,357,id2893612,0.0046,149.1400597411218,4.8597,999999,172,428,4.460413067999999,20,0,-73.9739744,40.7629723,-73.990276,40.756567
2,id1666812,2016-01-29 00:00:40,2016-01-29 00:07:05,385,42451674,42445011,0,2098,10,349,id1666812,0.0046,145.8950286960462,4.7524,999999,2,349,4.7524,1,0,-73.9859434,40.7465313,-73.992139,40.7591031
3,id1006838,2016-01-29 00:01:55,2016-01-29 00:18:29,994,1773076509,42439984,0,5024,85,837,id1006838,0.0046,349.2068024860309,11.386199999999999,999999,170,883,10.754294604,20,0,-73.9937263,40.720932,-73.9860128,40.7573406
4,id2802734,2016-01-29 00:02:23,2016-01-29 00:07:23,300,42430265,42437949,0,1483,113,247,id2802734,0.0046,103.08873269106324,3.3606999999999996,999999,6,247,3.3606999999999996,1,0,-73.9937398,40.7416174,-73.9963626,40.7322515
5,id0265307,2016-01-29 00:02:41,2016-01-29 00:10:33,472,42423674,42442935,0,2920,131,486,id0265307,0.0046,203.0233645072267,6.6156,999999,172,605,6.26443806,20,1,-73.979076,40.766876,-73.9731478,40.7485439
6,id2793966,2016-01-29 00:03:37,2016-01-29 00:08:26,289,42432700,42427762,0,1903,187,317,id2793966,0.0046,132.27839332451313,4.3126999999999995,999999,10,317,4.3126999999999995,1,0,-73.9883858,40.7591595,-73.973478,40.7636614
7,id2823003,2016-01-29 00:03:42,2016-01-29 00:08:25,283,596775882,42442963,0,1657,192,276,id2823003,0.0046,115.18159209634963,3.7551,999999,11,276,3.7551,1,0,-73.9749965,40.755973,-73.9629826,40.7624978
8,id3155770,2016-01-29 00:04:00,2016-01-29 00:16:49,769,42430811,596775867,0,4074,210,679,id3155770,0.0046,283.13970814446384,9.234399999999999,999999,362,807,8.835114924,32,0,-74.002395,40.7343413,-73.9745379,40.7566036
9,id2146483,2016-01-29 00:04:17,2016-01-29 00:18:28,851,42440170,42453669,0,13219,227,2203,id2146483,0.0046,918.7312498200342,29.9623,999999,428,2407,26.98384962,42,2,-73.9917852,40.7646863,-73.923433,40.868686
10,id3414124,2016-01-29 00:04:42,2016-01-29 00:22:09,1047,42446363,42435869,0,8089,252,1348,id3414124,0.0046,562.2003949400392,18.3343,999999,428,1348,18.166960716,42,3,-73.9908549,40.7659445,-73.9414281,40.8235077
11,id0767157,2016-01-29 00:04:45,2016-01-29 00:20:03,918,42427812,42443042,0,6434,255,1072,id0767157,0.0046,447.2006631840411,14.5822,999999,323,1426,14.311923168,21,0,-73.9957293,40.7490535,-73.9507943,40.7791759
12,id1188622,2016-01-29 00:05:01,2016-01-29 00:30:19,1518,42442842,42421852,0,11516,271,1919,id1188622,0.0046,800.3955568487847,26.101399999999998,999999,428,2018,24.919505508,42,0,-73.9908455,40.7242647,-73.9568234,40.8126219
13,id2078585,2016-01-29 00:05:41,2016-01-29 00:30:04,1463,42435644,42422042,0,5532,311,922,id2078585,0.0046,384.4695300577256,12.539200000000001,999999,253,1004,11.169518472,21,0,-73.9934596,40.7521959,-74.010521,40.7091439
14,id0262542,2016-01-29 00:05:56,2016-01-29 00:30:45,1489,42430237,42438024,0,12228,326,2038,id0262542,0.0046,849.8361195852979,27.7168,999999,428,2307,27.461644452,42,1,-73.9995234,40.7336634,-73.9434627,40.8308881
15,id0878098,2016-01-29 00:06:34,2016-01-29 00:20:43,849,4597668029,42421769,0,6070,364,1011,id0878098,0.0046,421.9458192581008,13.755600000000001,999999,362,1125,12.523291812,32,1,-73.9859325,40.7408706,-73.9750067,40.7826383
16,id3945312,2016-01-29 00:07:26,2016-01-29 00:13:11,345,42436935,1692433932,0,1394,416,232,id3945312,0.0046,96.92473558264268,3.1582,999999,23,232,3.1582,1,0,-73.9922554,40.7345291,-73.9996723,40.7284251
17,id0705731,2016-01-29 00:10:37,2016-01-29 00:16:56,379,42436935,1692433928,0,1466,607,244,id0705731,0.0046,101.92867740551978,3.3213999999999997,999999,37,244,3.3213999999999997,1,0,-73.9922554,40.7345291,-73.9989542,40.7280695
18,id1595083,2016-01-29 00:07:35,2016-01-29 00:14:09,394,42443680,42428493,0,1595,425,265,id1595083,0.0046,110.9583661060822,3.6115000000000004,999999,253,265,3.173581368,21,1,-73.9854903,40.747152,-73.9907352,40.7347874
19,id0948387,2016-01-29 00:07:46,2016-01-29 00:13:03,317,4597668038,387180916,0,1738,436,289,id0948387,0.0046,120.87531958166062,3.9364,999999,25,289,3.9364,1,0,-73.9882045,40.7377528,-74.0048213,40.7416415
20,id1617698,2016-01-29 00:07:47,2016-01-29 00:11:29,222,1773084402,42449045,0,789,437,131,id1617698,0.0046,54.89915541026935,1.7861,999999,26,131,1.7861,1,0,-73.9915448,40.7270946,-73.994297,40.732165
21,id3045064,2016-01-29 00:08:26,2016-01-29 00:14:42,376,42434386,42443024,0,2688,476,448,id3045064,0.0046,186.81382805407924,6.0928,999999,28,448,6.0928,1,0,-73.940567,40.7931826,-73.9560108,40.7720257
22,id3669915,2016-01-29 00:08:27,2016-01-29 00:10:37,130,42453000,42436531,0,1366,477,227,id3669915,0.0046,95.02162016346215,3.0932,999999,30,227,3.0932,1,0,-73.9688692,40.7501172,-73.9610636,40.7608639
23,id2932591,2016-01-29 00:08:44,2016-01-29 00:18:26,582,42429663,42440330,0,2273,494,378,id2932591,0.0046,158.07881827150845,5.1483,999999,31,378,5.1483,1,0,-74.0035806,40.7434761,-73.9814011,40.7372097
